BS.pilon.polished.v3.ST170922	Bacillus subtilis
34774	Cryptococcus neoformans
35601	Cryptococcus neoformans
34483	Cryptococcus neoformans
35205	Cryptococcus neoformans
34261	Cryptococcus neoformans
35440	Cryptococcus neoformans
35067	Cryptococcus neoformans
34436	Cryptococcus neoformans
35475	Cryptococcus neoformans
35359	Cryptococcus neoformans
35288	Cryptococcus neoformans
33693	Cryptococcus neoformans
35456	Cryptococcus neoformans
33971	Cryptococcus neoformans
35028	Cryptococcus neoformans
35226	Cryptococcus neoformans
35780	Cryptococcus neoformans
35391	Cryptococcus neoformans
35246	Cryptococcus neoformans
33648	Cryptococcus neoformans
34944	Cryptococcus neoformans
34213	Cryptococcus neoformans
35503	Cryptococcus neoformans
35032	Cryptococcus neoformans
34583	Cryptococcus neoformans
35109	Cryptococcus neoformans
35403	Cryptococcus neoformans
35527	Cryptococcus neoformans
35118	Cryptococcus neoformans
34867	Cryptococcus neoformans
35169	Cryptococcus neoformans
35673	Cryptococcus neoformans
35401	Cryptococcus neoformans
35373	Cryptococcus neoformans
33710	Cryptococcus neoformans
35058	Cryptococcus neoformans
15151	Cryptococcus neoformans
34358	Cryptococcus neoformans
35047	Cryptococcus neoformans
33862	Cryptococcus neoformans
35636	Cryptococcus neoformans
35170	Cryptococcus neoformans
35168	Cryptococcus neoformans
34555	Cryptococcus neoformans
35419	Cryptococcus neoformans
34067	Cryptococcus neoformans
35381	Cryptococcus neoformans
34161	Cryptococcus neoformans
35283	Cryptococcus neoformans
34309	Cryptococcus neoformans
35549	Cryptococcus neoformans
34735	Cryptococcus neoformans
34811	Cryptococcus neoformans
35142	Cryptococcus neoformans
33890	Cryptococcus neoformans
35112	Cryptococcus neoformans
34704	Cryptococcus neoformans
35629	Cryptococcus neoformans
33783	Cryptococcus neoformans
35623	Cryptococcus neoformans
35322	Cryptococcus neoformans
35683	Cryptococcus neoformans
35750	Cryptococcus neoformans
35037	Cryptococcus neoformans
35385	Cryptococcus neoformans
35408	Cryptococcus neoformans
34658	Cryptococcus neoformans
33782	Cryptococcus neoformans
35149	Cryptococcus neoformans
35731	Cryptococcus neoformans
35370	Cryptococcus neoformans
35275	Cryptococcus neoformans
